date,instrument,signal,entry,stoploss,take_profit,confidence,time_of_day,day_of_week,result
2025-02-03,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,0,win
2025-02-04,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,1,loss
2025-02-05,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,2,loss
2025-02-06,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,3,loss
2025-02-07,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,4,win
2025-02-08,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,5,win
2025-02-09,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,6,loss
2025-02-10,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,0,win
2025-02-11,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,1,loss
2025-02-12,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,2,loss
2025-02-13,XRPUSD,SELL,2.52731,2.6218132142857145,2.385555178571428,55.27639321011324,0,3,loss
