time,open,high,low,close,volume
2005-12-13,1.1952,1.19811,1.1913,1.1949,0
2005-12-14,1.1949,1.20571,1.1948,1.1974,0
2005-12-15,1.19801,1.2038,1.194,1.1967,0
2005-12-16,1.1968,1.20291,1.1944,1.2014,0
2005-12-19,1.2036,1.20391,1.19781,1.2007,0
2005-12-20,1.2008,1.2014,1.1844,1.18749,0
2005-12-21,1.1878,1.1908,1.18046,1.1834,0
2005-12-22,1.1831,1.1896,1.1816,1.1873,0
2005-12-23,1.1873,1.18869,1.1837,1.1872,0
2005-12-26,1.1862,1.1898,1.1836,1.1838,0
2005-12-27,1.1837,1.18761,1.18275,1.18561,0
2005-12-28,1.18549,1.1931,1.1817,1.18481,0
2005-12-29,1.1849,1.18761,1.1822,1.185,0
2005-12-30,1.1849,1.189,1.1783,1.1841,0
2006-01-02,1.1842,1.18649,1.1815,1.1817,0
2006-01-03,1.1817,1.2035,1.1817,1.2033,0
2006-01-04,1.20309,1.2142,1.20291,1.2112,0
2006-01-05,1.2114,1.21219,1.2072,1.2107,0
2006-01-06,1.21051,1.2174,1.20861,1.21541,0
2006-01-09,1.214,1.2155,1.20581,1.2075,0
2006-01-10,1.2075,1.2106,1.20409,1.2064,0
2006-01-11,1.2064,1.21451,1.2048,1.2139,0
2006-01-12,1.214,1.2161,1.2013,1.2045,0
2006-01-13,1.20401,1.2147,1.2034,1.2143,0
2006-01-16,1.2165,1.21709,1.21101,1.21161,0
2006-01-17,1.2117,1.21409,1.2054,1.21084,0
2006-01-18,1.2109,1.21541,1.20774,1.2108,0
2006-01-19,1.2107,1.21211,1.2062,1.2091,0
2006-01-20,1.209,1.2142,1.20581,1.21361,0
2006-01-23,1.2168,1.2321,1.2168,1.23041,0
2006-01-24,1.23041,1.2308,1.22635,1.2265,0
2006-01-25,1.2266,1.23204,1.22401,1.2245,0
2006-01-26,1.2246,1.2268,1.2202,1.22149,0
2006-01-27,1.2216,1.22311,1.2091,1.20939,0
2006-01-30,1.2106,1.2114,1.207,1.20861,0
2006-01-31,1.20861,1.21846,1.2083,1.21485,0
2006-02-01,1.2149,1.2165,1.2054,1.20669,0
2006-02-02,1.20659,1.2106,1.20391,1.2084,0
2006-02-03,1.2084,1.2109,1.1975,1.2027,0
2006-02-06,1.20309,1.2043,1.195,1.1963,0
2006-02-07,1.1961,1.2013,1.1953,1.1993,0
2006-02-08,1.1992,1.1994,1.19275,1.1965,0
2006-02-09,1.1966,1.1995,1.1952,1.1994,0
2006-02-10,1.20011,1.2024,1.1895,1.1907,0
2006-02-13,1.19009,1.1918,1.1884,1.1912,0
2006-02-14,1.1912,1.19241,1.18661,1.1916,0
2006-02-15,1.1916,1.1949,1.18765,1.18859,0
2006-02-16,1.1882,1.1911,1.1853,1.1907,0
2006-02-17,1.1908,1.1942,1.1862,1.1942,0
2006-02-20,1.19494,1.1975,1.1929,1.1934,0
2006-02-21,1.1935,1.1937,1.1897,1.19199,0
2006-02-22,1.19199,1.193,1.1869,1.1916,0
2006-02-23,1.1913,1.1968,1.1895,1.19219,0
2006-02-24,1.19241,1.1932,1.1867,1.1878,0
2006-02-27,1.1844,1.1877,1.18319,1.185,0
2006-02-28,1.1849,1.19404,1.1838,1.193,0
2006-03-01,1.1929,1.1968,1.18965,1.19199,0
2006-03-02,1.19185,1.2046,1.19155,1.20391,0
2006-03-03,1.2037,1.20499,1.2009,1.2046,0
2006-03-06,1.20865,1.2092,1.1995,1.20161,0
2006-03-07,1.202,1.2022,1.18716,1.189,0
2006-03-08,1.1892,1.1939,1.18761,1.19271,0
2006-03-09,1.1928,1.1948,1.19021,1.19041,0
2006-03-10,1.19009,1.1929,1.1867,1.1911,0
2006-03-13,1.19229,1.1969,1.19205,1.1967,0
2006-03-14,1.1967,1.20291,1.1944,1.20189,0
2006-03-15,1.20171,1.2076,1.20114,1.2071,0
2006-03-16,1.2072,1.21901,1.20391,1.21749,0
2006-03-17,1.2176,1.22041,1.2151,1.2192,0
2006-03-20,1.2181,1.2195,1.2153,1.21629,0
2006-03-21,1.21581,1.2161,1.2082,1.2108,0
2006-03-22,1.2106,1.2108,1.207,1.2079,0
2006-03-23,1.20809,1.20809,1.1958,1.1972,0
2006-03-24,1.1968,1.2048,1.1957,1.2035,0
2006-03-27,1.2033,1.20581,1.2007,1.2011,0
2006-03-28,1.2015,1.2104,1.1997,1.2011,0
