time,open,high,low,close,volume
2025-01-17 23:00:00,1.2196,1.2199,1.2188,1.2199,0
2025-01-17 23:15:00,1.2198,1.2198,1.219,1.219,0
2025-01-17 23:30:00,1.219,1.2196,1.2182,1.2182,0
2025-01-17 23:45:00,1.2182,1.2192,1.2182,1.2187,0
2025-01-18 00:00:00,1.2188,1.2195,1.2188,1.2189,0
2025-01-18 00:15:00,1.2189,1.219,1.2178,1.218,0
2025-01-18 00:30:00,1.2181,1.219,1.2179,1.2188,0
2025-01-18 00:45:00,1.2188,1.2191,1.2176,1.2182,0
2025-01-18 01:00:00,1.2182,1.2185,1.2168,1.2168,0
2025-01-18 01:15:00,1.2169,1.2177,1.2161,1.2176,0
2025-01-18 01:30:00,1.2177,1.2191,1.217,1.2184,0
2025-01-18 01:45:00,1.2184,1.2198,1.218,1.2195,0
2025-01-18 02:00:00,1.2194,1.2228,1.2191,1.2222,0
2025-01-18 02:15:00,1.2221,1.2224,1.2204,1.2208,0
2025-01-18 02:30:00,1.2208,1.221,1.2191,1.2197,0
2025-01-18 02:45:00,1.2197,1.2203,1.2191,1.2198,0
2025-01-18 03:00:00,1.2197,1.2199,1.2182,1.2191,0
2025-01-18 03:15:00,1.219,1.2197,1.2186,1.2191,0
2025-01-18 03:30:00,1.2191,1.2195,1.2184,1.219,0
2025-01-18 03:45:00,1.2191,1.2195,1.2176,1.2178,0
2025-01-18 04:00:00,1.2179,1.2182,1.2171,1.2178,0
2025-01-18 04:15:00,1.2178,1.2182,1.2173,1.2174,0
2025-01-18 04:30:00,1.2173,1.2177,1.2171,1.2174,0
2025-01-18 04:45:00,1.2174,1.2176,1.2168,1.2174,0
2025-01-18 05:00:00,1.2173,1.2176,1.2166,1.2176,0
2025-01-18 05:15:00,1.2175,1.2187,1.2174,1.2177,0
2025-01-18 05:30:00,1.2177,1.2177,1.2172,1.2176,0
2025-01-18 05:45:00,1.2176,1.2178,1.2172,1.2175,0
2025-01-18 06:00:00,1.2174,1.218,1.2173,1.2176,0
2025-01-18 06:15:00,1.2176,1.2177,1.217,1.2172,0
2025-01-18 06:30:00,1.2171,1.2172,1.2165,1.2168,0
2025-01-18 06:45:00,1.2168,1.217,1.2165,1.2168,0
2025-01-18 07:00:00,1.2168,1.2172,1.2166,1.2167,0
2025-01-18 07:15:00,1.2166,1.2174,1.2165,1.2172,0
2025-01-18 07:30:00,1.2172,1.2175,1.2169,1.2172,0
2025-01-18 07:45:00,1.2171,1.2172,1.2168,1.2171,0
2025-01-18 08:00:00,1.217,1.2171,1.2166,1.2168,0
2025-01-18 08:15:00,1.2168,1.217,1.2167,1.2169,0
2025-01-18 08:30:00,1.2169,1.217,1.2167,1.2169,0
2025-01-18 08:45:00,1.2168,1.2171,1.2167,1.2168,0
2025-01-20 09:00:00,1.2178,1.2178,1.2173,1.2176,0
2025-01-20 09:15:00,1.2176,1.2177,1.2175,1.2176,0
2025-01-20 09:30:00,1.2175,1.2178,1.2172,1.2178,0
2025-01-20 09:45:00,1.2178,1.218,1.2176,1.2177,0
2025-01-20 10:00:00,1.2176,1.2176,1.2166,1.2166,0
2025-01-20 10:15:00,1.2167,1.2168,1.2161,1.2161,0
2025-01-20 10:30:00,1.2161,1.2165,1.2161,1.2165,0
2025-01-20 10:45:00,1.2163,1.2176,1.2163,1.2175,0
2025-01-20 11:00:00,1.2176,1.2185,1.2175,1.2184,0
2025-01-20 11:15:00,1.2184,1.2184,1.218,1.218,0
2025-01-20 11:30:00,1.218,1.2182,1.2178,1.218,0
2025-01-20 11:45:00,1.218,1.2186,1.218,1.2185,0
2025-01-20 12:00:00,1.2184,1.2184,1.218,1.2182,0
2025-01-20 12:15:00,1.2183,1.2183,1.2176,1.2178,0
2025-01-20 12:30:00,1.2178,1.2184,1.2176,1.2184,0
2025-01-20 12:45:00,1.2184,1.2195,1.2183,1.2193,0
2025-01-20 13:00:00,1.2193,1.2193,1.2187,1.2192,0
2025-01-20 13:15:00,1.2192,1.2193,1.2186,1.2187,0
2025-01-20 13:30:00,1.2186,1.2195,1.2186,1.2193,0
2025-01-20 13:45:00,1.2192,1.2194,1.2189,1.2194,0
2025-01-20 14:00:00,1.2193,1.2199,1.2193,1.2198,0
2025-01-20 14:15:00,1.2199,1.2199,1.2197,1.2197,0
2025-01-20 14:30:00,1.2197,1.2203,1.2195,1.2197,0
2025-01-20 14:45:00,1.2197,1.2205,1.2197,1.2205,0
2025-01-20 15:00:00,1.2205,1.2206,1.2201,1.2201,0
2025-01-20 15:15:00,1.2201,1.2205,1.2201,1.2203,0
2025-01-20 15:30:00,1.2204,1.2207,1.2203,1.2207,0
2025-01-20 15:45:00,1.2207,1.2207,1.2205,1.2206,0
2025-01-20 16:00:00,1.2208,1.221,1.2207,1.2207,0
