time,open,high,low,close,volume
2006-02-28,1.7401,1.7571,1.7376,1.754,0
2006-03-01,1.7538,1.7596,1.7462,1.7489,0
2006-03-02,1.7499,1.7551,1.7434,1.755,0
2006-03-03,1.754,1.7588,1.7502,1.7546,0
2006-03-06,1.7562,1.7625,1.7466,1.7497,0
2006-03-07,1.7504,1.751,1.733,1.7363,0
2006-03-08,1.7359,1.742,1.7343,1.7378,0
2006-03-09,1.7384,1.7415,1.7346,1.7367,0
2006-03-10,1.7356,1.7402,1.7231,1.7268,0
2006-03-13,1.726,1.7334,1.7233,1.7325,0
2006-03-14,1.7328,1.7485,1.7325,1.7464,0
2006-03-15,1.7461,1.7495,1.7419,1.7475,0
2006-03-16,1.7477,1.7597,1.7441,1.7574,0
2006-03-17,1.7572,1.7581,1.7511,1.7566,0
2006-03-20,1.7561,1.7588,1.7527,1.7567,0
2006-03-21,1.7566,1.7571,1.7451,1.747,0
2006-03-22,1.7477,1.751,1.7452,1.7475,0
2006-03-23,1.747,1.7477,1.7329,1.7353,0
2006-03-24,1.7343,1.7447,1.7311,1.7427,0
2006-03-27,1.7428,1.7496,1.7414,1.7466,0
2006-03-28,1.7468,1.754,1.7428,1.7437,0
2006-03-29,1.7428,1.7445,1.7315,1.7346,0
2006-03-30,1.7338,1.7485,1.7334,1.747,0
2006-03-31,1.7464,1.7479,1.7336,1.7382,0
2006-04-03,1.7369,1.7405,1.725,1.7399,0
2006-04-04,1.74,1.7579,1.7369,1.7549,0
2006-04-05,1.755,1.762,1.7479,1.7544,0
2006-04-06,1.754,1.7597,1.7489,1.7527,0
2006-04-07,1.7519,1.7536,1.7393,1.7435,0
2006-04-10,1.7426,1.7473,1.7376,1.7433,0
2006-04-11,1.7442,1.7497,1.7394,1.7491,0
2006-04-12,1.7485,1.7574,1.746,1.7502,0
2006-04-13,1.7504,1.7567,1.7481,1.7527,0
2006-04-14,1.7528,1.7537,1.7507,1.7512,0
2006-04-17,1.7532,1.7749,1.753,1.77,0
2006-04-18,1.7704,1.7839,1.7679,1.783,0
2006-04-19,1.7832,1.7938,1.7795,1.7927,0
2006-04-20,1.7927,1.7928,1.7757,1.7786,0
2006-04-21,1.7782,1.7849,1.7753,1.7818,0
2006-04-24,1.7872,1.7933,1.7792,1.7883,0
2006-04-25,1.7866,1.7946,1.7826,1.7877,0
2006-04-26,1.7879,1.7912,1.7801,1.7843,0
2006-04-27,1.7841,1.8048,1.7822,1.8016,0
2006-04-28,1.8014,1.8272,1.8001,1.8256,0
2006-05-01,1.8237,1.8417,1.8206,1.8258,0
2006-05-02,1.8239,1.8428,1.8205,1.8403,0
2006-05-03,1.8394,1.8478,1.8354,1.8432,0
2006-05-04,1.8424,1.855,1.8335,1.8523,0
2006-05-05,1.8527,1.8625,1.8475,1.8593,0
2006-05-08,1.8626,1.8692,1.855,1.858,0
2006-05-09,1.8579,1.8693,1.8514,1.8672,0
2006-05-10,1.867,1.8737,1.8603,1.8645,0
2006-05-11,1.8649,1.886,1.8532,1.8821,0
2006-05-12,1.8821,1.9,1.8819,1.8935,0
2006-05-15,1.8966,1.8999,1.8764,1.8796,0
2006-05-16,1.8794,1.8898,1.8747,1.8882,0
2006-05-17,1.8885,1.9028,1.8775,1.8824,0
2006-05-18,1.8807,1.8958,1.879,1.8954,0
2006-05-19,1.8954,1.8958,1.87,1.878,0
2006-05-22,1.8773,1.8889,1.8633,1.8869,0
2006-05-23,1.8864,1.8888,1.8777,1.8799,0
2006-05-24,1.8797,1.8865,1.8654,1.8677,0
2006-05-25,1.869,1.8751,1.8666,1.8734,0
2006-05-26,1.8753,1.8776,1.8529,1.8593,0
2006-05-29,1.8579,1.8646,1.8564,1.8598,0
2006-05-30,1.8586,1.8868,1.8579,1.8847,0
2006-05-31,1.8837,1.8858,1.8687,1.8698,0
2006-06-01,1.8712,1.8727,1.8565,1.8655,0
2006-06-02,1.8658,1.8862,1.8609,1.882,0
2006-06-05,1.884,1.8881,1.8717,1.8727,0
2006-06-06,1.8728,1.8775,1.8592,1.8598,0
2006-06-07,1.8605,1.8651,1.853,1.8557,0
2006-06-08,1.8565,1.8579,1.8369,1.8443,0
