time,open,high,low,close,volume
2018-01-17,1.04,1.33,0.87050003,1.2742,0
2018-01-18,1.2781,1.7276,1.2101,1.5652,0
2018-01-19,1.5515,1.7001,1.45,1.55,0
2018-01-20,1.5502,1.6203,1.4991,1.5648,0
2018-01-21,1.5638,1.5698,1.3011,1.3614,0
2018-01-22,1.3614,1.422,1.1501,1.3344,0
2018-01-23,1.337,1.4374,1.1985,1.3278,0
2018-01-24,1.3318,1.41,1.2662,1.3539,0
2018-01-25,1.348,1.3798,1.2954,1.309,0
2018-01-26,1.3086,1.3266,1.1334,1.2121,0
2018-01-27,1.2115,1.2345,1.1784,1.2148,0
2018-01-28,1.215,1.4035,1.203,1.3656,0
2018-01-29,1.3698,1.3746,1.2523,1.2675,0
2018-01-30,1.2675,1.2675,1.1,1.1117,0
2018-01-31,1.1127,1.1549,1.0253,1.14,0
2018-02-01,1.1395,1.1438,0.91000003,0.96039999,0
2018-02-02,0.96100003,0.972,0.69370002,0.89850003,0
2018-02-03,0.89420003,1.01,0.78100002,0.9558,0
2018-02-04,0.95569998,0.96990001,0.79409999,0.81160003,0
2018-02-05,0.81160003,0.83749998,0.64120001,0.6785,0
2018-02-06,0.68049997,0.77749997,0.58139998,0.75840002,0
2018-02-07,0.76069999,0.80699998,0.69139999,0.71689999,0
2018-02-08,0.7184,0.79470003,0.71420002,0.78149998,0
2018-02-09,0.78399998,0.93300003,0.74339998,0.91829997,0
2018-02-10,0.91829997,1.228,0.90499997,1.0309,0
2018-02-11,1.0293,1.039,0.89700001,0.95859998,0
2018-02-12,0.95859998,1.0724,0.95859998,1.0424,0
2018-02-13,1.0484,1.0507,0.96880001,0.98650002,0
2018-02-14,0.98549998,1.1552,0.98009998,1.1267,0
2018-02-15,1.1271,1.1414,1.0559,1.1051,0
2018-02-16,1.1043,1.1168,1.0636,1.1094,0
2018-02-17,1.1094,1.2049,1.1004,1.172,0
2018-02-18,1.1731,1.1758,1.0385,1.0678,0
2018-02-19,1.0708,1.135,1.066,1.1074,0
2018-02-20,1.1074,1.1328,1.0098,1.027,0
2018-02-21,1.027,1.0421,0.94059998,0.95190001,0
2018-02-22,0.95300001,0.9993,0.86260003,0.89099997,0
2018-02-23,0.89099997,0.98199999,0.85009998,0.94209999,0
2018-02-24,0.93989998,0.96990001,0.87050003,0.90100002,0
2018-02-25,0.90060002,0.92339998,0.87510002,0.89960003,0
2018-02-26,0.9016,0.94520003,0.87519997,0.9271,0
2018-02-27,0.92799997,0.95899999,0.91500002,0.92699999,0
2018-02-28,0.92610002,0.94870001,0.88279998,0.88709998,0
2018-03-01,0.88709998,0.94599998,0.87540001,0.91369998,0
2018-03-02,0.91369998,0.92199999,0.88679999,0.89960003,0
2018-03-03,0.89859998,0.9206,0.89099997,0.89999998,0
2018-03-04,0.89990002,1.0275,0.88559997,1.0065,0
2018-03-05,1.007,1.0872,0.94349998,0.94349998,0
2018-03-06,0.94300002,0.98089999,0.89249998,0.903,0
2018-03-07,0.903,0.91500002,0.7899,0.84619999,0
2018-03-08,0.84619999,0.87199998,0.7978,0.80500001,0
